participant_id,prompt_formality_confidence_mean,prompt_formality_confidence_std,prompt_formality_confidence_count,reply_formality_confidence_mean,reply_formality_confidence_std,reply_formality_confidence_count,llm_reply_formality_confidence_mean,llm_reply_formality_confidence_std,llm_reply_formality_confidence_count,final_reply_formality_confidence_mean,final_reply_formality_confidence_std,final_reply_formality_confidence_count
P003,0.915,0.0766159252375118,6,0.8250000000000001,0.13590437814875575,6,0.9899999999999999,0.012649110640673528,6,0.8333333333333334,0.08571269839800091,6
P004,0.9199999999999999,0.14791889669680477,6,0.8416666666666667,0.1614207752015417,6,0.9566666666666667,0.017511900715418246,6,0.7599999999999999,0.1354990774876346,6
P005,0.8414285714285714,0.19056307542198647,7,0.87,0.15989579940281937,7,0.9471428571428572,0.1311124562750473,7,0.8885714285714286,0.13777137721948043,7
P006,0.9266666666666666,0.0794145242803019,6,0.7833333333333333,0.15870307705481537,6,0.9349999999999999,0.0432434966208793,6,0.8933333333333334,0.07312090444371336,6
P007,0.8916666666666666,0.18734104373219088,6,0.9216666666666667,0.0910860399109911,6,0.9333333333333332,0.14023789311975088,6,0.8933333333333332,0.13216151734399345,6
P008,0.9500000000000001,0.05513619500836089,6,0.9166666666666666,0.10327955589886448,6,0.8766666666666666,0.1534492315610171,6,0.8616666666666667,0.12319361455313611,6
P009,0.8957142857142857,0.17395949172696717,7,0.8814285714285715,0.18433923180091746,7,0.9757142857142858,0.04466808810815721,7,0.8285714285714285,0.1173923011996629,7
P010,0.9500000000000001,0.05513619500836089,6,0.8849999999999999,0.11077003204838394,6,0.9333333333333332,0.05202563470700448,6,0.9383333333333334,0.09765585833254792,6
P011,0.8866666666666667,0.1887502759379881,6,0.8083333333333332,0.19630758178599894,6,0.9983333333333334,0.004082482904638622,6,0.8583333333333334,0.12859497138950132,6
P012,0.9500000000000001,0.05513619500836089,6,0.8666666666666667,0.13995237285114773,6,0.8233333333333333,0.1884321274800735,6,0.9466666666666667,0.06860515043833565,6
P014,0.9500000000000001,0.05513619500836089,6,0.8266666666666667,0.117756811551038,6,0.8666666666666667,0.14292189008919054,6,0.835,0.09115920140062655,6
P015,0.82,0.2414953415699773,6,0.9366666666666666,0.08869423130433376,6,0.9416666666666668,0.14288690166235204,6,0.9283333333333333,0.13790093062291736,6
P016,0.9500000000000001,0.05513619500836089,6,0.9,0.07615773105863907,6,0.965,0.02345207879911716,6,0.94,0.04690415759823431,6
P018,0.8733333333333334,0.1505545305418162,6,0.92,0.06633249580710797,6,0.8816666666666667,0.10381072520056235,6,0.8766666666666666,0.1011269828812601,6
P020,0.98,0.020000000000000014,6,0.8816666666666667,0.07935153852740766,6,0.6816666666666666,0.150521316319871,6,0.8716666666666667,0.13644290625263983,6
P022,0.8733333333333334,0.1505545305418162,6,0.8816666666666667,0.13541294866690806,6,0.915,0.09268225288586808,6,0.9366666666666666,0.11201190412927846,6
P024,0.8733333333333334,0.1505545305418162,6,0.7566666666666667,0.19996666388842582,6,0.8866666666666667,0.09973297682645728,6,0.9333333333333332,0.08710147338975767,6
P026,0.98,0.020000000000000014,6,0.7933333333333333,0.1623165631310208,6,0.6933333333333334,0.13764689123502452,6,0.8966666666666666,0.13017936344392939,6
P030,0.89,0.18633303518163385,6,0.82,0.12774975538137048,6,0.7583333333333333,0.16809719410706017,6,0.8883333333333333,0.17600189392920368,6
