prompt_id,prompt_formality_confidence_mean,prompt_formality_confidence_std,prompt_formality_confidence_count,reply_formality_confidence_mean,reply_formality_confidence_std,reply_formality_confidence_count,llm_reply_formality_confidence_mean,llm_reply_formality_confidence_std,llm_reply_formality_confidence_count,final_reply_formality_confidence_mean,final_reply_formality_confidence_std,final_reply_formality_confidence_count
prompt_001,0.98,0.0,4,0.9,0.1298717315918544,4,0.9125,0.175,4,0.8475,0.16276260831857747,4
prompt_002,0.95,0.0,4,0.88,0.153839743456191,4,0.9975,0.004999999999999989,4,0.8175,0.17727097901235836,4
prompt_003,0.51,0.0,5,0.8940000000000001,0.1907354188398159,5,1.0,0.0,5,0.9059999999999999,0.12601587201618691,5
prompt_004,0.9924999999999999,0.01500000000000002,4,0.85,0.16062378404209005,4,1.0,0.0,4,0.96,0.011547005383792526,4
prompt_005,0.9466666666666667,0.02886751345948125,3,0.91,0.09643650760992953,3,1.0,0.0,3,0.9333333333333332,0.10692676621563624,3
prompt_006,0.9099999999999999,0.07071067811865478,2,0.96,0.042426406871192854,2,0.96,0.014142135623730963,2,0.9199999999999999,0.05656854249492382,2
prompt_007,0.9899999999999999,0.017320508075688787,3,0.8533333333333334,0.14502873278538062,3,0.8366666666666666,0.1692138686199607,3,0.7433333333333333,0.14468356276140473,3
prompt_008,0.975,0.03535533905932741,2,0.78,0.24041630560342608,2,0.975,0.021213203435596444,2,0.8400000000000001,0.05656854249492382,2
prompt_009,0.93,0.1039230484541326,3,0.9433333333333334,0.08144527815247074,3,1.0,0.0,3,0.8433333333333334,0.06027713773341709,3
prompt_010,0.9023076923076924,0.07189736274183336,13,0.8638461538461539,0.1422168802415558,13,0.9461538461538461,0.07309109174384859,13,0.8969230769230769,0.09068118285000987,13
prompt_011,0.9640000000000001,0.018973665961010307,10,0.786,0.14975535605335347,10,0.8539999999999999,0.13841965178398621,10,0.915,0.09046177830074605,10
prompt_012,0.9423076923076923,0.06533935084794437,13,0.8607692307692307,0.12065526224617101,13,0.9092307692307693,0.13193821397795372,13,0.9184615384615384,0.1161067148392772,13
prompt_013,0.915,0.07833494518006408,12,0.8883333333333333,0.08912027963614252,12,0.8266666666666667,0.15540757752283235,12,0.8883333333333333,0.10836246694508317,12
prompt_014,0.85,0.18237324365158392,11,0.8090909090909091,0.17288461732927807,11,0.8927272727272727,0.10640403273287241,11,0.9054545454545455,0.08594924506517043,11
prompt_015,0.9614285714285714,0.09867250749962594,14,0.8721428571428572,0.14017453798354787,14,0.8964285714285715,0.1403077465297755,14,0.8435714285714286,0.13556758988995646,14
prompt_016,0.98,,1,0.95,,1,0.65,,1,1.0,,1
prompt_017,1.0,0.0,3,0.86,0.017320508075688787,3,0.84,0.2165640782770772,3,0.9633333333333334,0.05507570547286096,3
prompt_018,0.52,0.0,2,0.88,0.028284271247461926,2,0.8200000000000001,0.2404163056034262,2,0.87,0.14142135623730948,2
prompt_019,0.9,0.017320508075688787,3,0.7166666666666667,0.21779194965226176,3,0.7666666666666666,0.20207259421636894,3,0.73,0.2022374841615668,3
prompt_020,0.96,0.0,2,0.98,0.028284271247461926,2,0.65,0.0,2,0.8049999999999999,0.21920310216782973,2
prompt_021,0.99,0.0,2,0.8049999999999999,0.16263455967290597,2,0.65,0.0,2,0.925,0.09192388155425123,2
