prompt_id,prompt_formality_confidence_mean,prompt_formality_confidence_std,prompt_formality_confidence_count,reply_formality_confidence_mean,reply_formality_confidence_std,reply_formality_confidence_count,llm_reply_formality_confidence_mean,llm_reply_formality_confidence_std,llm_reply_formality_confidence_count,final_reply_formality_confidence_mean,final_reply_formality_confidence_std,final_reply_formality_confidence_count,prompt_formality_label,prompt_formality_label_and_confidence,reply_formality_label,reply_formality_label_and_confidence,llm_reply_formality_label,llm_reply_formality_label_and_confidence,final_reply_formality_label,final_reply_formality_label_and_confidence
prompt_001,0.98,0.0,4,0.9,0.1298717315918544,4,0.9125,0.175,4,0.8475,0.1627626083185774,4,formal,formal (0.98),formal,formal (0.90),formal,formal (0.91),formal,formal (0.85)
prompt_002,0.95,0.0,4,0.88,0.153839743456191,4,0.9975,0.0049999999999999,4,0.8175,0.1772709790123583,4,formal,formal (0.95),formal,formal (0.88),formal,formal (1.00),formal,formal (0.82)
prompt_003,0.51,0.0,5,0.8940000000000001,0.1907354188398159,5,1.0,0.0,5,0.906,0.1260158720161869,5,formal,formal (0.51),formal,formal (0.89),formal,formal (1.00),formal,formal (0.91)
prompt_004,1.0,0.0,4,0.85,0.16062378404209,4,1.0,0.0,4,0.96,0.0115470053837925,4,formal,formal (1.00),formal,formal (0.85),formal,formal (1.00),formal,formal (0.96)
prompt_005,0.93,0.0,3,0.91,0.0964365076099295,3,1.0,0.0,3,0.9333333333333332,0.1069267662156362,3,formal,formal (0.93),formal,formal (0.91),formal,formal (1.00),formal,formal (0.93)
prompt_006,0.86,0.0,2,0.96,0.0424264068711928,2,0.96,0.0141421356237309,2,0.92,0.0565685424949238,2,formal,formal (0.86),formal,formal (0.96),formal,formal (0.96),formal,formal (0.92)
prompt_007,1.0,0.0,3,0.8533333333333334,0.1450287327853806,3,0.8366666666666666,0.1692138686199607,3,0.7433333333333333,0.1446835627614047,3,formal,formal (1.00),formal,formal (0.85),formal,formal (0.84),formal,formal (0.74)
prompt_008,1.0,0.0,2,0.78,0.240416305603426,2,0.975,0.0212132034355964,2,0.8400000000000001,0.0565685424949238,2,formal,formal (1.00),formal,formal (0.78),formal,formal (0.97),formal,formal (0.84)
prompt_009,0.99,0.0,3,0.9433333333333334,0.0814452781524707,3,1.0,0.0,3,0.8433333333333334,0.060277137733417,3,formal,formal (0.99),formal,formal (0.94),formal,formal (1.00),formal,formal (0.84)
prompt_010,0.97,0.0,13,0.8638461538461539,0.1422168802415558,13,0.946153846153846,0.0730910917438485,13,0.8969230769230769,0.0906811828500098,13,formal,formal (0.97),formal,formal (0.86),formal,formal (0.95),formal,formal (0.90)
prompt_011,0.95,0.0,10,0.786,0.1497553560533534,10,0.8539999999999999,0.1384196517839862,10,0.915,0.090461778300746,10,formal,formal (0.95),formal,formal (0.79),formal,formal (0.85),formal,formal (0.92)
prompt_012,0.98,0.0,13,0.8607692307692307,0.120655262246171,13,0.9092307692307692,0.1319382139779537,13,0.9184615384615384,0.1161067148392772,13,formal,formal (0.98),formal,formal (0.86),formal,formal (0.91),formal,formal (0.92)
prompt_013,0.99,0.0,12,0.8883333333333333,0.0891202796361425,12,0.8266666666666667,0.1554075775228323,12,0.8883333333333333,0.1083624669450831,12,formal,formal (0.99),formal,formal (0.89),formal,formal (0.83),formal,formal (0.89)
prompt_014,0.98,0.0,11,0.8090909090909091,0.172884617329278,11,0.8927272727272727,0.1064040327328724,11,0.9054545454545456,0.0859492450651704,11,formal,formal (0.98),formal,formal (0.81),formal,formal (0.89),formal,formal (0.91)
prompt_015,0.98,0.0,14,0.8721428571428572,0.1401745379835478,14,0.8964285714285715,0.1403077465297755,14,0.8435714285714286,0.1355675898899564,14,formal,formal (0.98),formal,formal (0.87),formal,formal (0.90),formal,formal (0.84)
prompt_016,0.98,,1,0.95,,1,0.65,,1,1.0,,1,formal,formal (0.98),formal,formal (0.95),formal,formal (0.65),formal,formal (1.00)
prompt_017,1.0,0.0,3,0.86,0.0173205080756887,3,0.84,0.2165640782770772,3,0.9633333333333334,0.0550757054728609,3,formal,formal (1.00),formal,formal (0.86),formal,formal (0.84),formal,formal (0.96)
prompt_018,0.52,0.0,2,0.88,0.0282842712474619,2,0.8200000000000001,0.2404163056034262,2,0.87,0.1414213562373094,2,formal,formal (0.52),formal,formal (0.88),formal,formal (0.82),formal,formal (0.87)
prompt_019,0.91,0.0,3,0.7166666666666667,0.2177919496522617,3,0.7666666666666666,0.2020725942163689,3,0.73,0.2022374841615668,3,formal,formal (0.91),formal,formal (0.72),formal,formal (0.77),formal,formal (0.73)
prompt_020,0.96,0.0,2,0.98,0.0282842712474619,2,0.65,0.0,2,0.8049999999999999,0.2192031021678297,2,formal,formal (0.96),formal,formal (0.98),formal,formal (0.65),formal,formal (0.80)
prompt_021,0.99,0.0,2,0.8049999999999999,0.1626345596729059,2,0.65,0.0,2,0.925,0.0919238815542512,2,formal,formal (0.99),formal,formal (0.80),formal,formal (0.65),formal,formal (0.93)
