participant_id,prompt_id,prompt_formality_confidence,reply_formality_confidence,llm_reply_formality_confidence,final_reply_formality_confidence
P003,prompt_005,0.93,0.95,1.0,0.81
P003,prompt_006,0.86,0.93,0.97,0.88
P003,prompt_007,1.0,0.71,0.98,0.67
P003,prompt_008,1.0,0.61,0.99,0.88
P003,prompt_009,0.99,0.85,1.0,0.9
P003,prompt_010,0.97,0.9,1.0,0.86
P004,prompt_015,0.98,0.93,0.95,0.58
P004,prompt_011,0.95,0.81,0.96,0.85
P004,prompt_012,0.98,0.96,0.93,0.74
P004,prompt_013,0.99,0.97,0.95,0.74
P004,prompt_014,0.98,0.54,0.97,0.97
P004,prompt_015,0.98,0.84,0.98,0.68
P005,prompt_001,0.98,1.0,1.0,0.96
P005,prompt_002,0.95,0.86,0.99,0.97
P005,prompt_019,0.91,0.54,1.0,0.96
P005,prompt_019,0.91,0.96,0.65,0.65
P005,prompt_015,0.98,0.83,1.0,0.73
P005,prompt_012,0.98,1.0,1.0,0.98
P005,prompt_018,0.52,0.9,0.99,0.97
P006,prompt_010,0.97,0.59,0.99,0.97
P006,prompt_010,0.97,0.83,0.94,0.87
P006,prompt_012,0.98,0.93,0.92,0.99
P006,prompt_013,0.99,0.66,0.86,0.89
P006,prompt_014,0.98,0.7,0.95,0.81
P006,prompt_015,0.98,0.99,0.95,0.83
P007,prompt_001,0.98,0.89,0.65,0.65
P007,prompt_002,0.95,1.0,1.0,0.96
P007,prompt_003,0.51,0.91,1.0,0.83
P007,prompt_004,1.0,0.76,1.0,0.97
P007,prompt_005,0.93,0.98,1.0,0.99
P007,prompt_006,0.86,0.99,0.95,0.96
P008,prompt_010,0.97,0.86,0.96,0.77
P008,prompt_011,0.95,0.73,0.96,0.77
P008,prompt_012,0.98,0.98,0.99,0.99
P008,prompt_013,0.99,0.98,0.99,0.72
P008,prompt_014,0.98,0.99,0.7,0.92
P008,prompt_015,0.98,0.96,0.66,1.0
P009,prompt_007,1.0,1.0,0.88,0.91
P009,prompt_008,1.0,0.95,0.96,0.8
P009,prompt_009,0.99,0.98,1.0,0.85
P009,prompt_010,0.97,0.53,0.99,0.87
P009,prompt_001,0.98,0.72,1.0,0.78
P009,prompt_002,0.95,0.99,1.0,0.61
P009,prompt_003,0.51,1.0,1.0,0.98
P010,prompt_010,0.97,0.99,0.94,0.99
P010,prompt_011,0.95,0.86,0.84,0.99
P010,prompt_012,0.98,0.93,0.99,0.97
P010,prompt_013,0.99,0.86,0.94,0.97
P010,prompt_014,0.98,0.69,0.97,0.97
P010,prompt_015,0.98,0.98,0.92,0.74
P011,prompt_009,0.99,1.0,1.0,0.78
P011,prompt_010,0.97,0.96,0.99,0.97
P011,prompt_001,0.98,0.99,1.0,1.0
P011,prompt_002,0.95,0.67,1.0,0.73
P011,prompt_003,0.51,0.56,1.0,0.72
P011,prompt_004,1.0,0.67,1.0,0.95
P012,prompt_010,0.97,0.96,0.99,0.81
P012,prompt_011,0.95,0.6,0.65,0.97
P012,prompt_012,0.98,0.89,0.99,0.97
P012,prompt_013,0.99,0.84,0.61,0.99
P012,prompt_014,0.98,0.98,0.7,0.99
P012,prompt_015,0.98,0.93,1.0,0.95
P014,prompt_010,0.97,0.89,0.96,0.89
P014,prompt_011,0.95,0.71,0.84,0.76
P014,prompt_012,0.98,0.65,0.96,0.98
P014,prompt_013,0.99,0.86,0.6,0.76
P014,prompt_014,0.98,0.93,0.86,0.76
P014,prompt_015,0.98,0.92,0.98,0.86
P015,prompt_003,0.51,1.0,1.0,1.0
P015,prompt_004,1.0,0.97,1.0,0.97
P015,prompt_005,0.93,0.8,1.0,1.0
P015,prompt_007,1.0,0.85,0.65,0.65
P015,prompt_003,0.51,1.0,1.0,1.0
P015,prompt_004,1.0,1.0,1.0,0.95
P016,prompt_010,0.97,0.92,0.94,0.96
P016,prompt_011,0.95,0.9,0.96,0.92
P016,prompt_012,0.98,0.76,1.0,1.0
P016,prompt_013,0.99,0.95,0.98,0.95
P016,prompt_014,0.98,0.89,0.97,0.86
P016,prompt_015,0.98,0.98,0.94,0.95
P018,prompt_010,0.97,0.92,0.91,0.72
P018,prompt_011,0.95,1.0,0.71,0.93
